	1:-2.729606e-001	2:-1.760585e-001	3:-2.779958e-001	4:-4.615262e-001	5:-3.706210e-001	6:-4.465774e-001	7:2.969538e-001	8:8.390962e-002	9:8.405540e-001	10:8.788656e-001	11:2.663586e-002	12:-1.894528e-001
	1:-1.768228e-001	2:-1.395543e-001	3:-3.001875e-001	4:-6.609184e-002	5:-1.224673e-001	6:5.833594e-002	7:5.822619e-001	8:1.194397e-001	9:7.021687e-001	10:7.681229e-001	11:5.922733e-002	12:-5.439401e-002
	1:-1.407712e-001	2:-1.787395e-002	3:-4.365083e-001	4:-6.431157e-002	5:-1.499958e-001	6:4.785806e-002	7:6.576801e-001	8:1.954646e-001	9:8.176629e-001	10:8.554653e-001	11:1.553961e-001	12:5.266558e-002
	1:-2.059896e-002	2:-1.517224e-001	3:-2.843363e-001	4:-9.723389e-002	5:-1.751342e-001	6:5.038083e-002	7:5.706018e-001	8:2.308710e-001	9:9.247196e-001	10:8.369331e-001	11:1.063940e-001	12:-1.679626e-001
	1:-1.527884e-001	2:-3.342430e-001	3:-2.605594e-001	4:-1.320118e-001	5:-2.470941e-001	6:-2.163572e-001	7:4.826736e-001	8:2.557791e-001	9:9.683346e-001	10:8.283526e-001	11:1.811997e-002	12:-2.127268e-001
	1:-3.330467e-001	2:-3.464110e-001	3:-2.351974e-001	4:-1.125952e-002	5:-2.907118e-001	6:-2.427612e-001	7:4.645615e-001	8:2.915498e-001	9:7.761409e-001	10:6.844929e-001	11:1.334350e-002	12:-6.142159e-003
	1:-3.450640e-001	2:-1.356358e+000	3:-2.304420e-001	4:-7.757943e-002	5:-1.656870e-001	6:-2.286614e-001	7:5.680043e-001	8:1.761224e-001	9:7.343944e-001	10:7.087631e-001	11:-7.205592e-003	12:-1.786412e-001
	1:-1.342493e+000	2:8.825610e-001	3:-2.431230e-001	4:1.487856e+000	5:8.300026e-001	6:1.557984e+000	7:1.455575e+000	8:9.221292e-001	9:9.294963e-001	10:-2.780907e-001	11:-3.956112e-001	12:-2.957501e-001
	1:8.686755e-001	2:-6.654611e-002	3:-2.637296e-001	4:-9.935782e-002	5:-6.513325e-002	6:-1.841985e-001	7:4.288747e-001	8:1.644561e-001	9:9.130297e-001	10:9.013156e-001	11:-2.730888e-002	12:-2.817733e-001
	1:-6.866785e-002	2:-7.871415e-002	3:-2.779958e-001	4:-1.906984e-001	5:-3.231398e-001	6:-9.426836e-002	7:5.599387e-001	8:1.618843e-001	9:9.035881e-001	10:8.897035e-001	11:1.400863e-001	12:-1.552766e-001
	1:-8.068507e-002	2:-1.395543e-001	3:-2.779958e-001	4:-1.558355e-001	5:-2.086466e-001	6:-2.837789e-001	7:4.707368e-001	8:1.928567e-001	9:8.360016e-001	10:8.127518e-001	11:3.619525e-002	12:-1.968470e-001
	1:-1.407712e-001	2:-2.368987e-001	3:-2.700701e-001	4:-3.088107e-001	5:-1.720919e-001	6:-2.173023e-001	7:5.625754e-001	8:2.929959e-001	9:9.660112e-001	10:9.054959e-001	11:6.116181e-002	12:-1.709232e-001
	1:-2.369090e-001	2:-1.760585e-001	3:-1.258237e-001	4:3.605289e-001	5:1.163628e-001	6:4.483544e-002	7:5.617877e-001	8:9.315016e-002	9:7.655118e-001	10:7.855942e-001	11:6.038333e-002	12:-1.507044e-001
	1:-1.768228e-001	2:-2.612347e-001	3:-2.573891e-001	4:-2.452850e-001	5:-2.538867e-001	6:-2.911449e-001	7:4.402548e-001	8:1.939558e-001	9:8.568226e-001	10:7.196735e-001	11:2.520793e-002	12:-1.633744e-001
